$Csv : ,RUBY-4X

Depth,BH_FLAG,DT,FACIES,GR,LLD,NPHI,RHOB
M,,us/ft,,gAPI,ohm.m,m3/m3,g/cm3
1799.9964,1.0000,121.9770,3.0000,87.2810,1.3810,0.4646,2.2291
1800.1488,1.0000,118.8524,4.0000,89.5940,1.4280,0.4746,2.2217
1800.3012,0.0000,116.4490,4.0000,89.5300,1.5667,0.4648,2.2087
1800.4536,0.0000,114.1887,4.0000,89.3640,1.6913,0.4459,2.2079
1800.6060,0.0000,113.7382,4.0000,90.5330,1.7517,0.4109,2.2113
1800.7584,0.0000,114.4376,4.0000,91.2060,1.7633,0.3819,2.2188
1800.9108,0.0000,116.0270,4.0000,94.9550,1.7596,0.4011,2.2348
1801.0632,0.0000,117.1098,4.0000,93.3900,1.7314,0.4238,2.2640
1801.2156,0.0000,117.8218,4.0000,88.7330,1.6710,0.4390,2.2589
1801.3680,0.0000,116.5154,3.0000,84.1180,1.6097,0.4460,2.2452
1801.5204,0.0000,112.9413,2.0000,82.1310,1.6283,0.4268,2.1865
1801.6728,0.0000,107.8182,2.0000,83.1470,1.8450,0.4110,2.2405
1801.8252,0.0000,104.1643,3.0000,86.8460,2.1262,0.3925,2.2946
1801.9776,0.0000,100.6028,3.0000,90.9740,2.4185,0.3787,2.3018
1802.1300,0.0000,97.9459,3.0000,94.6610,2.7455,0.3563,2.3090
1802.2824,0.0000,94.7270,4.0000,96.2110,3.0907,0.3341,2.3162
1802.4348,0.0000,91.8120,4.0000,85.6350,3.3712,0.3115,2.3234
1802.5872,0.0000,91.0735,3.0000,67.8010,3.4282,0.2827,2.3306
1802.7396,0.0000,90.8108,2.0000,57.2580,3.2855,0.2544,2.3171
1802.8920,0.0000,89.7626,2.0000,54.9960,3.0935,0.2138,2.3036
1803.0444,0.0000,88.1592,2.0000,54.3790,2.9315,0.1897,2.2901
1803.1968,0.0000,86.9983,1.0000,52.1380,2.8153,0.1924,2.2766
1803.3492,0.0000,86.4732,1.0000,49.2080,2.7162,0.1967,2.2631
1803.5016,0.0000,86.0786,1.0000,48.3130,2.6968,0.2031,2.2495
1803.6540,0.0000,85.6716,1.0000,46.8850,2.8222,0.2083,2.2360
1803.8064,0.0000,85.6155,1.0000,44.7470,3.0142,0.2060,2.2225
1803.9588,0.0000,86.4632,1.0000,45.4810,3.1175,0.2057,2.2526
1804.1112,0.0000,87.2302,1.0000,49.0110,3.0116,0.2083,2.2826
1804.2636,0.0000,87.5985,1.0000,50.3400,2.7571,0.2056,2.3126
1804.4160,0.0000,88.4741,1.0000,48.3110,2.4825,0.2033,2.3054
1804.5684,0.0000,89.0615,1.0000,45.7530,2.2744,0.2050,2.2982
